id,name,first_name,last_name,title,office_level,office_branch,body,district,party,state,county,municipality,email,phone,website,twitter_handle,twitter_verified,facebook_url,photo_url,source,source_id,scraped_at
CO-CTY-grand-clerk,Jolene Stetson-Linke,Jolene,Stetson-Linke,County Clerk and Recorder,county,executive,,,,CO,Grand,,grandelections@co.grand.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-adams-clerk,Josh Zygielbaum,Josh,Zygielbaum,County Clerk and Recorder,county,executive,,,,CO,Adams,,adams.elections@adcogov.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-fremont-clerk,Justin D Grantham,Justin,Grantham,County Clerk and Recorder,county,executive,,,,CO,Fremont,,elections@fremontcountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-lasanimas-clerk,Karrie Apple,Karrie,Apple,County Clerk and Recorder,county,executive,,,,CO,Las Animas,,karrie.apple@lasanimascounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-gunnison-clerk,Kathy Simillion,Kathy,Simillion,County Clerk and Recorder,county,executive,,,,CO,Gunnison,,ksimillion@gunnisoncounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-custer-clerk,Kelley Camper,Kelley,Camper,County Clerk and Recorder,county,executive,,,,CO,Custer,,custerclerk@custercountygov.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-morgan-clerk,Kevin Strauch,Kevin,Strauch,County Clerk and Recorder,county,executive,,,,CO,Morgan,,votemorganc@co.morgan.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-montezuma-clerk,Kim Percell,Kim,Percell,County Clerk and Recorder,county,executive,,,,CO,Montezuma,,kpercell@co.montezuma.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-archuleta-clerk,Kristy Archuleta,Kristy,Archuleta,County Clerk and Recorder,county,executive,,,,CO,Archuleta,,karchuleta@archuletacounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-sedgwick-clerk,Kurt Dilsaver,Kurt,Dilsaver,County Clerk and Recorder,county,executive,,,,CO,Sedgwick,,kdilsaver@sedgwickcountygov.net,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-dolores-clerk,LaRita Randolph,LaRita,Randolph,County Clerk and Recorder,county,executive,,,,CO,Dolores,,county.clerk@dolorescountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-sanjuan-clerk,Ladonna Jaramillo,Ladonna,Jaramillo,County Clerk and Recorder,county,executive,,,,CO,San Juan,,clerk@sanjuancountycolorado.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-chaffee-clerk,Lori Mitchell,Lori,Mitchell,County Clerk and Recorder,county,executive,,,,CO,Chaffee,,elections@chaffeecounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-bent-clerk,Lynda Moss,Lynda,Moss,County Clerk and Recorder,county,executive,,,,CO,Bent,,lynda.moss@bentcounty.net,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-otero-clerk,Lynda “Lyn” Scott,Lynda,Scott,County Clerk and Recorder,county,executive,,,,CO,Otero,,lscott@oterogov.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-phillips-clerk,Madene “Beth” Zilla,Madene,Zilla,County Clerk and Recorder,county,executive,,,,CO,Phillips,,beth.zilla@phillipscounty.co,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-alamosa-clerk,Mari Felix,Mari,Felix,County Clerk and Recorder,county,executive,,,,CO,Alamosa,,mfelix@alamosacounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-crowley-clerk,Melinda “Mindy” Carter,Melinda,Carter,County Clerk and Recorder,county,executive,,,,CO,Crowley,,elections@crowleycounty.net,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-sanmiguel-clerk,Michael Wyszynski,Michael,Wyszynski,County Clerk and Recorder,county,executive,,,,CO,San Miguel,,michaelw@sanmiguelcountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-park-clerk,Milena Kassel,Milena,Kassel,County Clerk and Recorder,county,executive,,,,CO,Park,,county.elections@parkcountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-boulder-clerk,Molly Fitzpatrick,Molly,Fitzpatrick,County Clerk and Recorder,county,executive,,,,CO,Boulder,,vote@bouldercounty.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-costilla-clerk,Najondine T. Placek,Najondine,Placek,County Clerk and Recorder,county,executive,,,,CO,Costilla,,najondine.placek@costillacounty-co.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-conejos-clerk,Nathan Ruybal,Nathan,Ruybal,County Clerk and Recorder,county,executive,,,,CO,Conejos,,nruybal@co.conejos.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-logan-clerk,Pamela M. Bacon,Pamela,Bacon,County Clerk and Recorder,county,executive,,,,CO,Logan,,baconp@logancountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-denver-clerk,Paul López,Paul,López,County Clerk and Recorder,county,executive,,,,CO,Denver,,elections@denvergov.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-elbert-clerk,Rhonda Braun,Rhonda,Braun,County Clerk and Recorder,county,executive,,,,CO,Elbert,,elections@elbertcounty-co.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-gilpin-clerk,Sahari McCormick,Sahari,McCormick,County Clerk and Recorder,county,executive,,,,CO,Gilpin,,elections@gilpincounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-baca-clerk,Sharon Dubois,Sharon,Dubois,County Clerk and Recorder,county,executive,,,,CO,Baca,,bacaclerk@bacacountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-rioblanco-clerk,Shawn Luce,Shawn,Luce,County Clerk and Recorder,county,executive,,,,CO,Rio Blanco,,clerk@rbc.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-douglas-clerk,Sheri Davis,Sheri,Davis,County Clerk and Recorder,county,executive,,,,CO,Douglas,,elections@douglas.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-moffat-clerk,Stacy Morgan,Stacy,Morgan,County Clerk and Recorder,county,executive,,,,CO,Moffat,,elections@moffatcounty.net,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-teller-clerk,Stephanie Kees,Stephanie,Kees,County Clerk and Recorder,county,executive,,,,CO,Teller,,elections@co.teller.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-elpaso-clerk,Steve Schleiker,Steve,Schleiker,County Clerk and Recorder,county,executive,,,,CO,El Paso,,elections@elpasoco.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-kitcarson-clerk,Susan Corliss,Susan,Corliss,County Clerk and Recorder,county,executive,,,,CO,Kit Carson,,elections@kitcarsoncounty.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-summit-clerk,Taryn Power,Taryn,Power,County Clerk and Recorder,county,executive,,,,CO,Summit,,taryn.power@summitcountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-delta-clerk,Teri A. Stephenson,Teri,Stephenson,County Clerk and Recorder,county,executive,,,,CO,Delta,,elections@deltacounty.com,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-laplata-clerk,Tiffany Lee,Tiffany,Lee,County Clerk and Recorder,county,executive,,,,CO,La Plata,,elections@co.laplata.co.us,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-larimer-clerk,Tina Harris,Tina,Harris,County Clerk and Recorder,county,executive,,,,CO,Larimer,,elections@larimer.org,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-lake-clerk,Tracey Lauritzen,Tracey,Lauritzen,County Clerk and Recorder,county,executive,,,,CO,Lake,,tlauritzen@lakecountyco.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-montrose-clerk,Tressa Guynes,Tressa,Guynes,County Clerk and Recorder,county,executive,,,,CO,Montrose,,elections@montrosecounty.net,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-CTY-saguache-clerk,Trish Gilbert,Trish,Gilbert,County Clerk and Recorder,county,executive,,,,CO,Saguache,,tgilbert@saguachecounty-co.gov,,,,0,,,sos_clerks_pdf,,2026-03-06T02:53:15.250821+00:00
CO-MUN-boulder-mayor,Aaron Brockett,Aaron,Brockett,Mayor,municipal,executive,City Council,,,CO,Boulder,Boulder,,(303) 441-3090,https://www.bouldercolorado.gov,,0,,,cml_directory,,2026-03-06T02:54:34.204172+00:00
CO-MUN-fruita-mayorprotem,Aaron Hancey,Aaron,Hancey,Mayor Pro Tem,municipal,executive,City Council,,,CO,Mesa,Fruita,,(970) 858-3663,https://www.fruita.org,,0,,,cml_directory,,2026-03-06T02:54:34.205462+00:00
CO-MUN-trinidad-mayorprotem,Aaron Williamson,Aaron,Williamson,Mayor Pro Tem,municipal,executive,City Council,,,CO,Las Animas,Trinidad,,(719) 846-9843,https://www.trinidad.co.gov,,0,,,cml_directory,,2026-03-06T02:54:34.207977+00:00
CO-MUN-dacono-mayor,Adam Morehead,Adam,Morehead,Mayor,municipal,executive,City Council,,,CO,Weld,Dacono,,(303) 833-2317,https://www.cityofdacono.com,,0,,,cml_directory,,2026-03-06T02:54:34.204787+00:00
CO-MUN-ponchasprings-mayorprotem,Adrian Quintana,Adrian,Quintana,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Chaffee,Poncha Springs,,(719) 539-6882,https://www.ponchasprings.us/,,0,,,cml_directory,,2026-03-06T02:54:34.207344+00:00
CO-MUN-saguache-mayorprotem,Alex DeCarli,Alex,DeCarli,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Saguache,Saguache,,(719) 655-2232,https://www.townofsaguache.org,,0,,,cml_directory,,2026-03-06T02:54:34.207539+00:00
CO-MUN-bayfield-mayorprotem,Alexis Hartz,Alexis,Hartz,Mayor Pro Tem,municipal,executive,Town Board,,,CO,La Plata,Bayfield,,(970) 884-9544,https://www.bayfieldgov.org,,0,,,cml_directory,,2026-03-06T02:54:34.204055+00:00
CO-MUN-ignacio-mayorprotem,Alison DeKay,Alison,DeKay,Mayor Pro Tem,municipal,executive,Town Board,,,CO,La Plata,Ignacio,,(970) 563-9494,https://townofignacio.colorado.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.205990+00:00
CO-MUN-snowmassvillage-mayor,Alyssa Shenk,Alyssa,Shenk,Mayor,municipal,executive,Town Board,,,CO,Pitkin,Snowmass Village,,(970) 923-3777,https://www.tosv.com,,0,,,cml_directory,,2026-03-06T02:54:34.207790+00:00
CO-MUN-palmerlake-mayorprotem,Amy Hutson,Amy,Hutson,Mayor Pro Tem,municipal,executive,Town Board,,,CO,El Paso,Palmer Lake,,(719) 481-2953,https://www.townofpalmerlake.com,,0,,,cml_directory,,2026-03-06T02:54:34.207189+00:00
CO-MUN-silverthorne-mayorprotem,Amy Manka,Amy,Manka,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Summit,Silverthorne,,(970) 262-7300,https://www.silverthorne.org/,,0,,,cml_directory,,2026-03-06T02:54:34.207745+00:00
CO-MUN-erie-mayor,Andrew Moore,Andrew,Moore,Mayor,municipal,executive,Town Board,,,CO,Weld/Boulder,Erie,,(303) 926-2700,https://www.erieco.gov,,0,,,cml_directory,,2026-03-06T02:54:34.205146+00:00
CO-MUN-rangely-mayorprotem,Andrew Shaffer,Andrew,Shaffer,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Rio Blanco,Rangely,,(970) 675-8476,https://townofrangely.colorado.gov,,0,,,cml_directory,,2026-03-06T02:54:34.207406+00:00
CO-MUN-ophir-mayor,Andy Ward,Andy,Ward,Mayor,municipal,executive,Town Board,,,CO,San Miguel,Ophir,,(970) 728-4943,https://townofophir.colorado.gov,,0,,,cml_directory,,2026-03-06T02:54:34.207044+00:00
CO-MUN-elizabeth-mayor,Angela Ternus,Angela,Ternus,Mayor,municipal,executive,Town Board,,,CO,Elbert,Elizabeth,,(303) 646-4166,https://www.townofelizabeth.org,,0,,,cml_directory,,2026-03-06T02:54:34.205088+00:00
CO-MUN-loglanevillage-mayorprotem,Angela Vick,Angela,Vick,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Morgan,Log Lane Village,,(970) 867-8027,https://www.townofllv.com/,,0,,,cml_directory,,2026-03-06T02:54:34.206425+00:00
CO-MUN-silverthorne-mayor,Ann-Marie Sandquist,Ann-Marie,Sandquist,Mayor,municipal,executive,Town Board,,,CO,Summit,Silverthorne,,(970) 262-7300,https://www.silverthorne.org/,,0,,,cml_directory,,2026-03-06T02:54:34.207742+00:00
CO-MUN-cripplecreek-mayor,Annie Durham,Annie,Durham,Mayor,municipal,executive,City Council,,,CO,Teller,Cripple Creek,,(719) 689-2502,https://www.cityofcripplecreek.com,,0,,,cml_directory,,2026-03-06T02:54:34.204751+00:00
CO-MUN-hotsulphursprings-mayorprotem,Annie Stiefel,Annie,Stiefel,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Grand,Hot Sulphur Springs,,(970) 725-3933,https://www.townofhotsulphursprings.com,,0,,,cml_directory,,2026-03-06T02:54:34.205918+00:00
CO-MUN-granada-mayor,"Argie Thrall, Jr.",Argie,"Thrall, Jr.",Mayor,municipal,executive,Town Board,,,CO,Prowers,Granada,,(719) 734-5411,,,0,,,cml_directory,,2026-03-06T02:54:34.205584+00:00
CO-MUN-brookside-mayor,Arlin Bolkema,Arlin,Bolkema,Mayor,municipal,executive,Town Board,,,CO,Fremont,Brookside,,(719) 276-3436,https://townofbrookside.colorado.gov,,0,,,cml_directory,,2026-03-06T02:54:34.204242+00:00
CO-MUN-keenesburg-mayor,Aron Lam,Aron,Lam,Mayor,municipal,executive,Town Board,,,CO,Weld,Keenesburg,,(303) 732-4281,https://www.townofkeenesburg.com,,0,,,cml_directory,,2026-03-06T02:54:34.206059+00:00
CO-MUN-newcastle-mayor,Art Riddile,Art,Riddile,Mayor,municipal,executive,Town Board,,,CO,Garfield,New Castle,,(970) 984-2311,https://www.newcastlecolorado.org,,0,,,cml_directory,,2026-03-06T02:54:34.206911+00:00
CO-MUN-redcliff-mayorprotem,Arthur Fox,Arthur,Fox,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Eagle,Red Cliff,,(970) 827-5303,https://townofredcliff.colorado.gov,,0,,,cml_directory,,2026-03-06T02:54:34.207430+00:00
CO-MUN-victor-mayor,Barbara Manning,Barbara,Manning,Mayor,municipal,executive,City Council,,,CO,Teller,Victor,,(719) 689-2284,https://www.cityofvictor.com,,0,,,cml_directory,,2026-03-06T02:54:34.208018+00:00
CO-MUN-vail-mayorprotem,Barry Davis,Barry,Davis,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Eagle,Vail,,(970) 479-2100,https://www.vail.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.208007+00:00
CO-MUN-carbondale-mayor,Ben Bohmfalk,Ben,Bohmfalk,Mayor,municipal,executive,Town Board,,,CO,Garfield,Carbondale,,(970) 963-2733,https://www.carbondalegov.org,,0,,,cml_directory,,2026-03-06T02:54:34.204368+00:00
CO-MUN-ponchasprings-mayor,Ben Scanga,Ben,Scanga,Mayor,municipal,executive,Town Board,,,CO,Chaffee,Poncha Springs,,(719) 539-6882,https://www.ponchasprings.us/,,0,,,cml_directory,,2026-03-06T02:54:34.207342+00:00
CO-MUN-crestone-mayor,Benjamin Byer,Benjamin,Byer,Mayor,municipal,executive,Town Board,,,CO,Saguache,Crestone,,(719) 256-4313,https://www.townofcrestone.com/,,0,,,cml_directory,,2026-03-06T02:54:34.204730+00:00
CO-MUN-oakcreek-mayorprotem,"Bernard Gagne, Jr.",Bernard,"Gagne, Jr.",Mayor Pro Tem,municipal,executive,Town Board,,,CO,Routt,Oak Creek,,(970) 736-2422,,,0,,,cml_directory,,2026-03-06T02:54:34.207001+00:00
CO-MUN-columbinevalley-mayor,Bill Dotson,Bill,Dotson,Mayor,municipal,executive,Town Board,,,CO,Arapahoe,Columbine Valley,,(303) 795-1434,https://www.columbinevalley.org,,0,,,cml_directory,,2026-03-06T02:54:34.204613+00:00
CO-MUN-fleming-mayorprotem,Bill Langridge,Bill,Langridge,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Logan,Fleming,,(970) 265-2692,https://www.flemingcolorado.us/,,0,,,cml_directory,,2026-03-06T02:54:34.205254+00:00
CO-MUN-nederland-mayor,Billy Giblin,Billy,Giblin,Mayor,municipal,executive,Town Board,,,CO,Boulder,Nederland,,(303) 258-3266,https://townofnederland.colorado.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.206893+00:00
CO-MUN-holly-mayorprotem,Blaine Ice,Blaine,Ice,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Prowers,Holly,,(719) 537-6622,https://www.townofhollyco.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.205881+00:00
CO-MUN-limon-mayor,Bo Randolph,Bo,Randolph,Mayor,municipal,executive,Town Board,,,CO,Lincoln,Limon,,(719) 775-2346,https://www.townoflimon.com,,0,,,cml_directory,,2026-03-06T02:54:34.206364+00:00
CO-MUN-alma-mayor,Bob Kassel,Bob,Kassel,Mayor,municipal,executive,Town Board,,,CO,Park,Alma,,(719) 836-2712,,,0,,,cml_directory,,2026-03-06T02:54:34.203855+00:00
CO-MUN-delnorte-mayorprotem,Bob Muncy,Bob,Muncy,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Rio Grande,Del Norte,,(719) 657-2708,https://www.delnortecolorado.com,,0,,,cml_directory,,2026-03-06T02:54:34.204825+00:00
CO-MUN-arriba-mayorprotem,Bob Rush,Bob,Rush,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Lincoln,Arriba,,(719) 768-3381,https://townofarriba.colorado.gov,,0,,,cml_directory,,2026-03-06T02:54:34.203889+00:00
CO-MUN-kersey-mayorprotem,Brad Joens,Brad,Joens,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Weld,Kersey,,(970) 353-1681,https://www.kerseygov.com/,,0,,,cml_directory,,2026-03-06T02:54:34.206080+00:00
CO-MUN-akron-mayor,Brandon Hill,Brandon,Hill,Mayor,municipal,executive,Town Board,,,CO,Washington,Akron,,(970) 345-2624,https://townofakron.colorado.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.203802+00:00
CO-MUN-starkville-mayor,Brenda Powell Interim,Brenda,Powell Interim,Mayor,municipal,executive,Town Board,,,CO,Las Animas,Starkville,,(719) 846-7599,,,0,,,cml_directory,,2026-03-06T02:54:34.207825+00:00
CO-MUN-genoa-mayor,Brenden Houder,Brenden,Houder,Mayor,municipal,executive,Town Board,,,CO,Lincoln,Genoa,,(719) 763-2313,https://townofgenoa.colorado.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.205485+00:00
CO-MUN-mancos-mayorprotem,Brent McWhirter,Brent,McWhirter,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Montezuma,Mancos,,(970) 533-7725,https://www.mancoscolorado.com,,0,,,cml_directory,,2026-03-06T02:54:34.206561+00:00
CO-MUN-dovecreek-mayor,Brett Martin,Brett,Martin,Mayor,municipal,executive,Town Board,,,CO,Dolores,Dove Creek,,(970) 677-2255,https://townofdovecreek.colorado.gov,,0,,,cml_directory,,2026-03-06T02:54:34.204966+00:00
CO-MUN-holyoke-mayorprotem,Brian Akey,Brian,Akey,Mayor Pro Tem,municipal,executive,City Council,,,CO,Phillips,Holyoke,,(970) 854-2266,https://www.cityofholyoke-co.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.205899+00:00
CO-MUN-fraser-mayor,Brian Cerkvenik,Brian,Cerkvenik,Mayor,municipal,executive,Town Board,,,CO,Grand,Fraser,,(970) 726-5491,https://www.frasercolorado.com,,0,,,cml_directory,,2026-03-06T02:54:34.205404+00:00
CO-MUN-wellington-mayorprotem,Brian Matthew Mason,Brian,Matthew Mason,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Larimer,Wellington,,(970) 568-3381,https://www.wellingtoncolorado.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.208107+00:00
CO-MUN-sanluis-mayorprotem,Brian Valdez,Brian,Valdez,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Costilla,San Luis,,(719) 672-3321,https://www.townofsanluisco.org/,,0,,,cml_directory,,2026-03-06T02:54:34.207561+00:00
CO-MUN-lafayette-mayorprotem,Brian Wong,Brian,Wong,Mayor Pro Tem,municipal,executive,City Council,,,CO,Boulder,Lafayette,,(303) 665-5588,https://www.lafayetteco.gov/,,0,,,cml_directory,,2026-03-06T02:54:34.206236+00:00
CO-MUN-crook-mayorprotem,Brittanie Estrada,Brittanie,Estrada,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Logan,Crook,,(970) 886-2222,,,0,,,cml_directory,,2026-03-06T02:54:34.204764+00:00
CO-MUN-severance-mayorprotem,Brittany Vandermark,Brittany,Vandermark,Mayor Pro Tem,municipal,executive,Town Board,,,CO,Weld,Severance,,(970) 686-1218,https://www.townofseverance.org,,0,,,cml_directory,,2026-03-06T02:54:34.207612+00:00
